HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,11200,1,1
1,11456,3,3
2,3328,24,24
3,4512,76,76
4,736,83,83
5,672,90,90
6,864,97,97
7,768,103,103
8,43872,128,128
9,20000,167,167
10,14816,219,219
11,768,226,226
12,672,233,233
13,704,240,240
14,704,246,246
15,78496,271,271
16,12415392,281,281
