HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10880,1,1
1,11488,3,3
2,15520,24,24
3,1120,76,76
4,704,83,83
5,768,90,90
6,768,97,97
7,768,103,103
8,45440,128,128
9,44160,167,167
10,15968,219,219
11,704,226,226
12,736,233,233
13,672,240,240
14,704,246,246
15,68928,271,271
16,12026336,281,281
