HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,10720,1,1
1,11808,3,3
2,1408,24,24
3,121536,42,42
4,3040,94,94
5,672,101,101
6,672,108,108
7,672,115,115
8,704,121,121
9,8992,160,160
10,41088,178,178
11,16448,230,230
12,672,237,237
13,736,244,244
14,672,251,251
15,640,257,257
16,12464096,267,267
