HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,10464,1,1
1,11456,3,3
2,896,24,24
3,3872,76,76
4,768,83,83
5,736,90,90
6,672,97,97
7,736,103,103
8,53536,128,128
9,20000,167,167
10,20096,219,219
11,768,226,226
12,736,233,233
13,768,240,240
14,736,246,246
15,79616,271,271
16,12500192,281,281
