HUD frame time nsec:,17210000

Range Index,Elapsed Time, First Event,Last Event
0,11776,10,10
1,61312,26,26
2,74464,59,59
3,10144,89,89
4,63776,118,118
5,4512,155,155
6,13893952,172,172
