HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,14624,10,10
1,63776,26,26
2,78272,59,59
3,14880,89,89
4,55904,118,118
5,672,155,155
6,13499168,172,172
