HUD frame time nsec:,16677000

Range Index,Elapsed Time, First Event,Last Event
0,11808,10,10
1,63040,26,26
2,51904,59,59
3,1472,89,89
4,91328,118,118
5,640,155,155
6,14003680,172,172
