HUD frame time nsec:,18397000

Range Index,Elapsed Time, First Event,Last Event
0,10816,1,1
1,39936,20,20
2,6784,87,87
3,768,94,94
4,768,101,101
5,832,108,108
6,768,114,114
7,65344,126,126
8,12640,161,161
9,9696,213,213
10,704,220,220
11,704,227,227
12,736,234,234
13,704,240,240
14,129376,252,252
15,14208,281,281
16,12112352,295,295
