HUD frame time nsec:,16660000

Range Index,Elapsed Time, First Event,Last Event
0,12416,10,10
1,64160,26,26
2,70496,59,59
3,12768,89,89
4,62464,118,118
5,768,155,155
6,13633600,172,172
