HUD frame time nsec:,17500000

Range Index,Elapsed Time, First Event,Last Event
0,10496,1,1
1,34784,20,20
2,17728,25,25
3,13280,88,88
4,1856,95,95
5,1024,102,102
6,992,109,109
7,1408,115,115
8,60256,127,127
9,8992,162,162
10,4896,214,214
11,736,221,221
12,800,228,228
13,736,235,235
14,768,241,241
15,147040,253,253
16,14816,282,282
17,11055616,296,296
