HUD frame time nsec:,17999000

Range Index,Elapsed Time, First Event,Last Event
0,10432,1,1
1,36064,20,20
2,17856,25,25
3,13184,88,88
4,2112,95,95
5,800,102,102
6,768,109,109
7,768,115,115
8,56320,127,127
9,8960,162,162
10,9952,214,214
11,736,221,221
12,704,228,228
13,736,235,235
14,736,241,241
15,175840,253,253
16,10432,282,282
17,12265344,296,296
