HUD frame time nsec:,17753000

Range Index,Elapsed Time, First Event,Last Event
0,10720,1,1
1,39904,20,20
2,9344,87,87
3,800,94,94
4,768,101,101
5,800,108,108
6,768,114,114
7,65856,126,126
8,12800,161,161
9,9184,213,213
10,768,220,220
11,736,227,227
12,736,234,234
13,736,240,240
14,103040,252,252
15,8640,281,281
16,12431488,295,295
