HUD frame time nsec:,17375000

Range Index,Elapsed Time, First Event,Last Event
0,11872,1,1
1,62336,17,17
2,76384,50,50
3,7072,80,80
4,69760,109,109
5,640,146,146
6,14133152,163,163
