HUD frame time nsec:,17202000

Range Index,Elapsed Time, First Event,Last Event
0,11872,10,10
1,62592,26,26
2,74560,59,59
3,9184,89,89
4,70464,118,118
5,672,155,155
6,14087776,172,172
