HUD frame time nsec:,17046000

Range Index,Elapsed Time, First Event,Last Event
0,11392,1,1
1,59616,17,17
2,95456,50,50
3,21248,80,80
4,44320,109,109
5,672,146,146
6,14245632,163,163
