HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,10816,1,1
1,11392,3,3
2,704,24,24
3,4992,76,76
4,7168,83,83
5,768,90,90
6,800,97,97
7,768,103,103
8,34816,128,128
9,9120,167,167
10,17632,219,219
11,704,226,226
12,672,233,233
13,704,240,240
14,704,246,246
15,88256,271,271
16,12943424,281,281
