HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10464,1,1
1,12512,3,3
2,12384,24,24
3,9120,67,67
4,640,74,74
5,672,81,81
6,640,88,88
7,672,94,94
8,71296,133,133
9,12992,176,176
10,672,183,183
11,832,190,190
12,640,197,197
13,672,203,203
14,12210144,213,213
