HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,10240,1,1
1,12832,3,3
2,12736,24,24
3,8896,67,67
4,672,74,74
5,672,81,81
6,672,88,88
7,768,94,94
8,86080,133,133
9,11360,176,176
10,704,183,183
11,672,190,190
12,672,197,197
13,672,203,203
14,12983008,213,213
