HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,10720,1,1
1,11456,3,3
2,14496,24,24
3,4992,76,76
4,768,83,83
5,672,90,90
6,768,97,97
7,768,103,103
8,54848,128,128
9,20256,167,167
10,16608,219,219
11,736,226,226
12,704,233,233
13,736,240,240
14,736,246,246
15,76640,271,271
16,12555328,281,281
