HUD frame time nsec:,16651000

Range Index,Elapsed Time, First Event,Last Event
326,3616,3815,3815
327,768,3821,3821
328,640,3827,3827
329,672,3833,3833
330,672,3838,3838
331,3616,3873,3873
332,672,3879,3879
333,672,3885,3885
334,672,3891,3891
335,640,3896,3896
336,3616,3931,3931
337,672,3937,3937
338,672,3943,3943
339,672,3949,3949
340,640,3954,3954
341,3616,3989,3989
342,768,3995,3995
343,672,4001,4001
344,672,4007,4007
345,672,4012,4012
346,3584,4047,4047
347,672,4053,4053
348,672,4059,4059
349,640,4065,4065
350,672,4070,4070
351,3616,4105,4105
352,672,4111,4111
353,640,4117,4117
354,640,4123,4123
355,672,4128,4128
356,3616,4163,4163
357,672,4169,4169
358,704,4175,4175
359,640,4181,4181
360,672,4186,4186
361,3616,4221,4221
362,672,4227,4227
363,640,4233,4233
364,672,4239,4239
365,640,4244,4244
366,3616,4279,4279
367,640,4285,4285
368,672,4291,4291
369,672,4297,4297
370,704,4302,4302
371,3584,4337,4337
372,640,4343,4343
373,672,4349,4349
374,640,4355,4355
375,672,4360,4360
376,3584,4395,4395
377,672,4401,4401
378,672,4407,4407
379,640,4413,4413
380,672,4418,4418
381,3584,4453,4453
382,672,4459,4459
383,640,4465,4465
384,672,4471,4471
385,672,4476,4476
386,3616,4511,4511
387,704,4517,4517
388,672,4523,4523
389,672,4529,4529
390,672,4534,4534
391,3584,4569,4569
392,672,4575,4575
393,704,4581,4581
394,640,4587,4587
395,672,4592,4592
396,3616,4627,4627
397,704,4633,4633
398,672,4639,4639
399,672,4645,4645
400,672,4650,4650
401,3616,4685,4685
402,672,4691,4691
403,672,4697,4697
404,672,4703,4703
405,672,4708,4708
406,3616,4743,4743
407,672,4749,4749
408,704,4755,4755
409,736,4761,4761
410,672,4766,4766
411,3584,4801,4801
412,672,4807,4807
413,672,4813,4813
414,704,4819,4819
415,672,4824,4824
416,3616,4859,4859
417,672,4865,4865
418,672,4871,4871
419,672,4877,4877
420,672,4882,4882
421,3584,4917,4917
422,672,4923,4923
423,672,4929,4929
424,672,4935,4935
425,704,4940,4940
426,3616,4975,4975
427,672,4981,4981
428,672,4987,4987
429,672,4993,4993
430,704,4998,4998
431,3584,5033,5033
432,672,5039,5039
433,672,5045,5045
434,672,5051,5051
435,704,5056,5056
436,3616,5091,5091
437,672,5097,5097
438,672,5103,5103
439,704,5109,5109
440,672,5114,5114
441,3584,5149,5149
442,672,5155,5155
443,672,5161,5161
444,672,5167,5167
445,672,5172,5172
446,3616,5207,5207
447,672,5213,5213
448,672,5219,5219
449,672,5225,5225
450,704,5230,5230
451,3584,5265,5265
452,672,5271,5271
453,672,5277,5277
454,672,5283,5283
455,672,5288,5288
456,3616,5323,5323
457,640,5329,5329
458,672,5335,5335
459,672,5341,5341
460,672,5346,5346
461,3584,5381,5381
462,672,5387,5387
463,672,5393,5393
464,704,5399,5399
465,672,5404,5404
466,3616,5439,5439
467,672,5445,5445
468,704,5451,5451
469,672,5457,5457
470,672,5462,5462
471,3616,5497,5497
472,704,5503,5503
473,672,5509,5509
474,672,5515,5515
475,672,5520,5520
476,3776,5555,5555
477,672,5561,5561
478,672,5567,5567
479,672,5573,5573
480,672,5578,5578
481,3840,5613,5613
482,672,5619,5619
483,672,5625,5625
484,672,5631,5631
485,672,5636,5636
486,3616,5671,5671
487,672,5677,5677
488,21120,5683,5683
489,736,5689,5689
490,672,5694,5694
491,3584,5729,5729
492,704,5735,5735
493,672,5741,5741
494,704,5747,5747
495,672,5752,5752
496,3616,5787,5787
497,704,5793,5793
498,704,5799,5799
499,672,5805,5805
500,672,5810,5810
501,3741824,5822,5822
